timestamp,pid,cpu_percent,ram_rss_mb,gpu_vram_mb,gpu_decoder_percent
2026-09-05T09:27:16Z,10482,0.0,20.6,0.0,0.0
2026-09-05T09:27:26Z,10482,0.0,1837.2,0.0,0.0
2026-09-05T09:27:36Z,10482,0.0,1798.1,0.0,0.0
2026-09-05T09:27:46Z,10482,0.0,1691.4,0.0,0.0
2026-09-05T09:27:56Z,10482,0.0,1646.4,0.0,0.0
2026-09-05T09:28:06Z,10482,0.0,1648.5,0.0,0.0
2026-09-05T09:28:16Z,10482,0.0,1652.0,0.0,0.0
2026-09-05T09:28:26Z,10482,0.0,1659.2,0.0,0.0
2026-09-05T09:28:36Z,10482,0.0,1659.2,0.0,0.0
2026-09-05T09:28:46Z,10482,0.0,1663.0,0.0,0.0
2026-09-05T09:28:56Z,10482,0.0,1663.2,0.0,0.0
2026-09-05T09:29:06Z,10482,0.0,1665.2,0.0,0.0
2026-09-05T09:29:16Z,10482,0.0,1665.4,0.0,0.0
2026-09-05T09:29:26Z,10482,0.0,1668.4,0.0,0.0
2026-09-05T09:29:36Z,10482,0.0,1668.3,0.0,0.0
2026-09-05T09:29:46Z,10482,0.0,1669.1,0.0,0.0
2026-09-05T09:29:56Z,10482,0.0,1670.1,0.0,0.0
2026-09-05T09:30:06Z,10482,0.0,1672.7,0.0,0.0
2026-09-05T09:30:16Z,10482,0.0,1673.8,0.0,0.0
2026-09-05T09:30:26Z,10482,0.0,1676.7,0.0,0.0
2026-09-05T09:30:36Z,10482,0.0,1677.6,0.0,0.0
2026-09-05T09:30:46Z,10482,0.0,1681.6,0.0,0.0
2026-09-05T09:30:56Z,10482,0.0,1684.9,0.0,0.0
2026-09-05T09:31:06Z,10482,0.0,1695.3,0.0,0.0
2026-09-05T09:31:16Z,10482,0.0,1696.0,0.0,0.0
2026-09-05T09:31:26Z,10482,0.0,1699.6,0.0,0.0
2026-09-05T09:31:36Z,10482,0.0,1701.5,0.0,0.0
2026-09-05T09:31:46Z,10482,0.0,1704.4,0.0,0.0
2026-09-05T09:31:56Z,10482,0.0,1641.6,0.0,0.0
2026-09-05T09:32:06Z,10482,0.0,1644.7,0.0,0.0
2026-09-05T09:32:16Z,10482,0.0,1504.5,0.0,0.0
2026-09-05T09:32:27Z,10482,0.0,1507.7,0.0,0.0
2026-09-05T09:32:37Z,10482,0.0,1508.7,0.0,0.0
2026-09-05T09:32:47Z,10482,0.0,1507.7,0.0,0.0
2026-09-05T09:32:57Z,10482,0.0,1510.1,0.0,0.0
2026-09-05T09:33:07Z,10482,0.0,1511.2,0.0,0.0
2026-09-05T09:33:17Z,10482,0.0,1512.0,0.0,0.0
2026-09-05T09:33:27Z,10482,0.0,1512.6,0.0,0.0
2026-09-05T09:33:37Z,10482,0.0,1510.6,0.0,0.0
