timestamp,pid,cpu_percent,ram_rss_mb,gpu_vram_mb,gpu_decoder_percent
2026-09-05T10:32:27Z,22132,0.0,0.8,0.0,0.0
2026-09-05T10:32:37Z,22132,0.0,2194.3,0.0,0.0
2026-09-05T10:32:47Z,22132,0.0,2213.5,0.0,0.0
2026-09-05T10:32:57Z,22132,0.0,2181.1,0.0,0.0
2026-09-05T10:33:07Z,22132,0.0,2074.0,0.0,0.0
2026-09-05T10:33:17Z,22132,0.0,2020.0,0.0,0.0
2026-09-05T10:33:27Z,22132,0.0,2029.5,0.0,0.0
2026-09-05T10:33:37Z,22132,0.0,2025.5,0.0,0.0
2026-09-05T10:33:47Z,22132,0.0,2038.3,0.0,0.0
2026-09-05T10:33:57Z,22132,0.0,2039.5,0.0,0.0
2026-09-05T10:34:07Z,22132,0.0,2034.2,0.0,0.0
2026-09-05T10:34:17Z,22132,0.0,2038.4,0.0,0.0
2026-09-05T10:34:27Z,22132,0.0,2038.9,0.0,0.0
2026-09-05T10:34:37Z,22132,0.0,2036.6,0.0,0.0
2026-09-05T10:34:47Z,22132,0.0,2040.7,0.0,0.0
2026-09-05T10:34:57Z,22132,0.0,2039.9,0.0,0.0
2026-09-05T10:35:07Z,22132,0.0,2037.5,0.0,0.0
2026-09-05T10:35:17Z,22132,0.0,2045.0,0.0,0.0
2026-09-05T10:35:27Z,22132,0.0,2040.8,0.0,0.0
2026-09-05T10:35:37Z,22132,0.0,2047.4,0.0,0.0
2026-09-05T10:35:47Z,22132,0.0,2048.5,0.0,0.0
2026-09-05T10:35:57Z,22132,0.0,2044.0,0.0,0.0
2026-09-05T10:36:07Z,22132,0.0,2049.5,0.0,0.0
2026-09-05T10:36:17Z,22132,0.0,2050.2,0.0,0.0
2026-09-05T10:36:27Z,22132,0.0,2046.3,0.0,0.0
2026-09-05T10:36:37Z,22132,0.0,2045.4,0.0,0.0
2026-09-05T10:36:47Z,22132,0.0,2047.7,0.0,0.0
2026-09-05T10:36:57Z,22132,0.0,2044.0,0.0,0.0
2026-09-05T10:37:07Z,22132,0.0,2046.1,0.0,0.0
2026-09-05T10:37:17Z,22132,0.0,2054.1,0.0,0.0
2026-09-05T10:37:27Z,22132,0.0,2054.1,0.0,0.0
2026-09-05T10:37:37Z,22132,0.0,2052.1,0.0,0.0
2026-09-05T10:37:47Z,22132,0.0,2049.4,0.0,0.0
2026-09-05T10:37:57Z,22132,0.0,2051.0,0.0,0.0
2026-09-05T10:38:07Z,22132,0.0,2048.4,0.0,0.0
2026-09-05T10:38:17Z,22132,0.0,2048.1,0.0,0.0
2026-09-05T10:38:27Z,22132,0.0,2050.1,0.0,0.0
2026-09-05T10:38:37Z,22132,0.0,2053.0,0.0,0.0
2026-09-05T10:38:47Z,22132,0.0,2050.7,0.0,0.0
2026-09-05T10:38:57Z,22132,0.0,2049.4,0.0,0.0
2026-09-05T10:39:07Z,22132,0.0,2057.8,0.0,0.0
2026-09-05T10:39:17Z,22132,0.0,2056.7,0.0,0.0
2026-09-05T10:39:27Z,22132,0.0,2052.2,0.0,0.0
2026-09-05T10:39:37Z,22132,0.0,2051.3,0.0,0.0
2026-09-05T10:39:47Z,22132,0.0,2059.0,0.0,0.0
2026-09-05T10:39:57Z,22132,0.0,2059.1,0.0,0.0
2026-09-05T10:40:07Z,22132,0.0,2051.8,0.0,0.0
2026-09-05T10:40:17Z,22132,0.0,2058.1,0.0,0.0
2026-09-05T10:40:27Z,22132,0.0,2052.1,0.0,0.0
2026-09-05T10:40:37Z,22132,0.0,2056.8,0.0,0.0
2026-09-05T10:40:47Z,22132,0.0,2055.3,0.0,0.0
2026-09-05T10:40:57Z,22132,0.0,2057.4,0.0,0.0
2026-09-05T10:41:07Z,22132,0.0,2058.4,0.0,0.0
2026-09-05T10:41:17Z,22132,0.0,2060.8,0.0,0.0
2026-09-05T10:41:27Z,22132,0.0,2059.7,0.0,0.0
2026-09-05T10:41:37Z,22132,0.0,2062.6,0.0,0.0
2026-09-05T10:41:47Z,22132,0.0,2056.6,0.0,0.0
2026-09-05T10:41:57Z,22132,0.0,2062.9,0.0,0.0
2026-09-05T10:42:07Z,22132,0.0,2058.4,0.0,0.0
2026-09-05T10:42:17Z,22132,0.0,2064.5,0.0,0.0
2026-09-05T10:42:27Z,22132,0.0,2061.2,0.0,0.0
2026-09-05T10:42:37Z,22132,0.0,2065.8,0.0,0.0
2026-09-05T10:42:47Z,22132,0.0,2063.7,0.0,0.0
2026-09-05T10:42:57Z,22132,0.0,2058.0,0.0,0.0
2026-09-05T10:43:07Z,22132,0.0,2065.3,0.0,0.0
2026-09-05T10:43:17Z,22132,0.0,2055.9,0.0,0.0
2026-09-05T10:43:28Z,22132,0.0,2062.7,0.0,0.0
2026-09-05T10:43:38Z,22132,0.0,2058.1,0.0,0.0
2026-09-05T10:43:48Z,22132,0.0,2062.9,0.0,0.0
2026-09-05T10:43:58Z,22132,0.0,2059.4,0.0,0.0
2026-09-05T10:44:08Z,22132,0.0,2063.8,0.0,0.0
2026-09-05T10:44:18Z,22132,0.0,2056.6,0.0,0.0
2026-09-05T10:44:28Z,22132,0.0,2061.3,0.0,0.0
2026-09-05T10:44:38Z,22132,0.0,2063.6,0.0,0.0
2026-09-05T10:44:48Z,22132,0.0,2057.0,0.0,0.0
2026-09-05T10:44:58Z,22132,0.0,2062.0,0.0,0.0
2026-09-05T10:45:08Z,22132,0.0,2063.6,0.0,0.0
2026-09-05T10:45:18Z,22132,0.0,2057.0,0.0,0.0
2026-09-05T10:45:28Z,22132,0.0,2063.9,0.0,0.0
2026-09-05T10:45:38Z,22132,0.0,2064.8,0.0,0.0
2026-09-05T10:45:48Z,22132,0.0,2062.0,0.0,0.0
2026-09-05T10:45:58Z,22132,0.0,2062.1,0.0,0.0
2026-09-05T10:46:08Z,22132,0.0,2060.4,0.0,0.0
2026-09-05T10:46:18Z,22132,0.0,2064.0,0.0,0.0
2026-09-05T10:46:28Z,22132,0.0,2061.0,0.0,0.0
2026-09-05T10:46:38Z,22132,0.0,2060.1,0.0,0.0
2026-09-05T10:46:48Z,22132,0.0,2065.2,0.0,0.0
2026-09-05T10:46:58Z,22132,0.0,2060.5,0.0,0.0
2026-09-05T10:47:08Z,22132,0.0,2064.2,0.0,0.0
2026-09-05T10:47:18Z,22132,0.0,2070.9,0.0,0.0
2026-09-05T10:47:28Z,22132,0.0,2062.3,0.0,0.0
2026-09-05T10:47:38Z,22132,0.0,2061.6,0.0,0.0
2026-09-05T10:47:48Z,22132,0.0,2067.4,0.0,0.0
2026-09-05T10:47:58Z,22132,0.0,2068.9,0.0,0.0
