timestamp,pid,cpu_percent,ram_rss_mb,gpu_vram_mb,gpu_decoder_percent
2026-09-05T14:02:44Z,68617,0.0,1.8,0.0,0.0
2026-09-05T14:02:54Z,68617,117.3,1066.6,0.0,0.0
2026-09-05T14:03:04Z,68617,116.8,1070.9,0.0,0.0
2026-09-05T14:03:14Z,68617,117.9,1049.5,0.0,0.0
2026-09-05T14:03:24Z,68617,123.8,1017.0,0.0,0.0
2026-09-05T14:03:34Z,68617,119.6,1017.8,0.0,0.0
2026-09-05T14:03:44Z,68617,120.0,1018.8,0.0,0.0
2026-09-05T14:03:54Z,68617,116.7,1029.2,0.0,0.0
2026-09-05T14:04:04Z,68617,119.3,1028.8,0.0,0.0
2026-09-05T14:04:14Z,68617,116.1,1029.3,0.0,0.0
2026-09-05T14:04:24Z,68617,125.7,1028.3,0.0,0.0
2026-09-05T14:04:34Z,68617,121.0,1028.9,0.0,0.0
2026-09-05T14:04:44Z,68617,119.1,1028.9,0.0,0.0
2026-09-05T14:04:54Z,68617,122.2,1030.5,0.0,0.0
2026-09-05T14:05:04Z,68617,120.6,1030.9,0.0,0.0
2026-09-05T14:05:14Z,68617,123.2,1031.7,0.0,0.0
2026-09-05T14:05:24Z,68617,122.6,1030.3,0.0,0.0
2026-09-05T14:05:34Z,68617,119.8,1030.9,0.0,0.0
2026-09-05T14:05:44Z,68617,121.0,1030.0,0.0,0.0
2026-09-05T14:05:54Z,68617,118.4,1032.0,0.0,0.0
2026-09-05T14:06:04Z,68617,121.6,1032.8,0.0,0.0
2026-09-05T14:06:14Z,68617,125.2,1031.5,0.0,0.0
2026-09-05T14:06:24Z,68617,122.0,1031.5,0.0,0.0
2026-09-05T14:06:34Z,68617,124.8,1032.3,0.0,0.0
2026-09-05T14:06:44Z,68617,121.2,1029.9,0.0,0.0
2026-09-05T14:06:54Z,68617,121.3,1031.2,0.0,0.0
2026-09-05T14:07:04Z,68617,123.5,1031.7,0.0,0.0
2026-09-05T14:07:14Z,68617,122.7,1031.0,0.0,0.0
2026-09-05T14:07:24Z,68617,114.5,1027.4,0.0,0.0
2026-09-05T14:07:34Z,68617,114.6,1028.6,0.0,0.0
2026-09-05T14:07:44Z,68617,117.1,1028.4,0.0,0.0
2026-09-05T14:07:54Z,68617,125.1,1028.6,0.0,0.0
2026-09-05T14:08:04Z,68617,113.5,1028.0,0.0,0.0
2026-09-05T14:08:14Z,68617,120.6,1028.7,0.0,0.0
2026-09-05T14:08:24Z,68617,117.5,1026.6,0.0,0.0
2026-09-05T14:08:34Z,68617,116.3,1028.8,0.0,0.0
2026-09-05T14:08:44Z,68617,118.6,1027.3,0.0,0.0
2026-09-05T14:08:54Z,68617,125.9,1027.1,0.0,0.0
2026-09-05T14:09:04Z,68617,115.7,1027.3,0.0,0.0
2026-09-05T14:09:14Z,68617,118.8,1026.8,0.0,0.0
2026-09-05T14:09:24Z,68617,121.4,1025.6,0.0,0.0
2026-09-05T14:09:34Z,68617,121.5,1027.1,0.0,0.0
2026-09-05T14:09:44Z,68617,122.6,1025.9,0.0,0.0
2026-09-05T14:09:54Z,68617,121.5,1027.6,0.0,0.0
2026-09-05T14:10:04Z,68617,116.3,1026.3,0.0,0.0
2026-09-05T14:10:14Z,68617,116.3,1027.6,0.0,0.0
2026-09-05T14:10:24Z,68617,120.4,1023.1,0.0,0.0
2026-09-05T14:10:34Z,68617,123.1,1023.5,0.0,0.0
2026-09-05T14:10:44Z,68617,122.5,1024.0,0.0,0.0
2026-09-05T14:10:54Z,68617,116.8,1023.2,0.0,0.0
2026-09-05T14:11:04Z,68617,121.5,1024.3,0.0,0.0
2026-09-05T14:11:14Z,68617,115.9,1024.8,0.0,0.0
2026-09-05T14:11:24Z,68617,123.5,1024.3,0.0,0.0
2026-09-05T14:11:34Z,68617,113.4,1024.4,0.0,0.0
2026-09-05T14:11:44Z,68617,123.0,1021.6,0.0,0.0
2026-09-05T14:11:54Z,68617,122.3,1024.6,0.0,0.0
2026-09-05T14:12:04Z,68617,117.6,1023.1,0.0,0.0
2026-09-05T14:12:14Z,68617,126.8,1024.6,0.0,0.0
2026-09-05T14:12:24Z,68617,119.3,1022.1,0.0,0.0
2026-09-05T14:12:34Z,68617,119.5,1022.7,0.0,0.0
2026-09-05T14:12:44Z,68617,116.4,1023.0,0.0,0.0
2026-09-05T14:12:54Z,68617,119.1,1021.6,0.0,0.0
2026-09-05T14:13:04Z,68617,121.7,1023.3,0.0,0.0
2026-09-05T14:13:14Z,68617,115.6,1022.5,0.0,0.0
2026-09-05T14:13:24Z,68617,120.1,1021.4,0.0,0.0
2026-09-05T14:13:34Z,68617,120.4,1022.0,0.0,0.0
2026-09-05T14:13:44Z,68617,121.1,1021.2,0.0,0.0
2026-09-05T14:13:54Z,68617,118.1,1021.3,0.0,0.0
2026-09-05T14:14:04Z,68617,114.6,1021.3,0.0,0.0
2026-09-05T14:14:14Z,68617,114.0,1022.0,0.0,0.0
2026-09-05T14:14:24Z,68617,119.9,1022.4,0.0,0.0
2026-09-05T14:14:34Z,68617,110.4,1021.4,0.0,0.0
2026-09-05T14:14:44Z,68617,124.8,1022.0,0.0,0.0
2026-09-05T14:14:55Z,68617,120.3,1021.6,0.0,0.0
2026-09-05T14:15:05Z,68617,127.1,1021.3,0.0,0.0
2026-09-05T14:15:15Z,68617,126.7,1021.4,0.0,0.0
2026-09-05T14:15:25Z,68617,119.3,1021.8,0.0,0.0
2026-09-05T14:15:35Z,68617,120.2,1021.7,0.0,0.0
2026-09-05T14:15:45Z,68617,111.2,1021.6,0.0,0.0
2026-09-05T14:15:55Z,68617,114.0,1021.8,0.0,0.0
2026-09-05T14:16:05Z,68617,119.1,1021.8,0.0,0.0
2026-09-05T14:16:15Z,68617,120.4,1023.2,0.0,0.0
2026-09-05T14:16:25Z,68617,119.8,1023.3,0.0,0.0
2026-09-05T14:16:35Z,68617,117.8,1024.1,0.0,0.0
2026-09-05T14:16:45Z,68617,116.3,1023.4,0.0,0.0
2026-09-05T14:16:55Z,68617,119.2,1023.6,0.0,0.0
