timestamp,pid,cpu_percent,ram_rss_mb,gpu_vram_mb,gpu_decoder_percent
2026-09-05T15:07:53Z,70307,0.0,1.7,0.0,0.0
2026-09-05T15:08:03Z,70307,254.3,939.4,0.0,0.0
2026-09-05T15:08:13Z,70307,271.1,914.6,0.0,0.0
2026-09-05T15:08:23Z,70307,286.6,915.1,0.0,0.0
2026-09-05T15:08:33Z,70307,274.8,920.4,0.0,0.0
2026-09-05T15:08:43Z,70307,271.2,900.8,0.0,0.0
2026-09-05T15:08:54Z,70307,276.0,928.9,0.0,0.0
2026-09-05T15:09:04Z,70307,273.3,935.9,0.0,0.0
2026-09-05T15:09:14Z,70307,295.9,921.2,0.0,0.0
2026-09-05T15:09:24Z,70307,271.7,909.2,0.0,0.0
2026-09-05T15:09:34Z,70307,278.5,921.7,0.0,0.0
2026-09-05T15:09:44Z,70307,264.6,905.7,0.0,0.0
2026-09-05T15:09:54Z,70307,286.9,931.4,0.0,0.0
2026-09-05T15:10:04Z,70307,268.6,928.6,0.0,0.0
2026-09-05T15:10:14Z,70307,273.0,923.9,0.0,0.0
2026-09-05T15:10:24Z,70307,266.5,916.5,0.0,0.0
2026-09-05T15:10:34Z,70307,273.7,906.2,0.0,0.0
2026-09-05T15:10:44Z,70307,271.6,932.8,0.0,0.0
2026-09-05T15:10:54Z,70307,257.8,913.1,0.0,0.0
2026-09-05T15:11:04Z,70307,268.5,948.5,0.0,0.0
2026-09-05T15:11:14Z,70307,275.2,917.3,0.0,0.0
2026-09-05T15:11:24Z,70307,271.5,944.5,0.0,0.0
2026-09-05T15:11:34Z,70307,261.6,929.6,0.0,0.0
2026-09-05T15:11:44Z,70307,281.1,908.0,0.0,0.0
2026-09-05T15:11:54Z,70307,278.9,909.6,0.0,0.0
2026-09-05T15:12:04Z,70307,272.5,939.2,0.0,0.0
2026-09-05T15:12:14Z,70307,274.3,941.0,0.0,0.0
2026-09-05T15:12:24Z,70307,283.1,923.2,0.0,0.0
2026-09-05T15:12:34Z,70307,269.3,908.4,0.0,0.0
2026-09-05T15:12:44Z,70307,267.9,911.5,0.0,0.0
2026-09-05T15:12:54Z,70307,278.6,923.4,0.0,0.0
2026-09-05T15:13:04Z,70307,263.0,909.7,0.0,0.0
